Date : 2026-06-20 16:13:25
Directory : /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02
Total : 404 files,  56845 codes, 3383 comments, 9894 blanks, all 70122 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| backend/src/main/java/com/swp391/coding_platform/entity/payment                                                                                                                                                  |          6 |        242 |          0 |         67 |        309 |
| backend/src/main/java/com/swp391/coding_platform/entity/problem                                                                                                                                                  |          7 |        300 |          0 |         96 |        396 |
| backend/src/main/java/com/swp391/coding_platform/entity/progress                                                                                                                                                 |          2 |         84 |          0 |         21 |        105 |
| backend/src/main/java/com/swp391/coding_platform/entity/user                                                                                                                                                     |          3 |        125 |          0 |         37 |        162 |
| backend/src/main/java/com/swp391/coding_platform/event                                                                                                                                                           |          2 |         30 |          0 |          7 |         37 |
| backend/src/main/java/com/swp391/coding_platform/exception                                                                                                                                                       |          3 |        187 |          0 |         40 |        227 |
| backend/src/main/java/com/swp391/coding_platform/listener                                                                                                                                                        |          1 |         37 |          2 |          7 |         46 |
| backend/src/main/java/com/swp391/coding_platform/mapper                                                                                                                                                          |          6 |        188 |          0 |         47 |        235 |
| backend/src/main/java/com/swp391/coding_platform/repository                                                                                                                                                      |         44 |        921 |          0 |        268 |      1,189 |
| backend/src/main/java/com/swp391/coding_platform/repository/auth                                                                                                                                                 |          2 |         18 |          0 |          6 |         24 |
| backend/src/main/java/com/swp391/coding_platform/repository/cart                                                                                                                                                 |          2 |         20 |          0 |          8 |         28 |
| backend/src/main/java/com/swp391/coding_platform/repository/category                                                                                                                                             |          1 |         15 |          0 |          3 |         18 |
| backend/src/main/java/com/swp391/coding_platform/repository/contest                                                                                                                                              |          5 |        130 |          0 |         40 |        170 |
| backend/src/main/java/com/swp391/coding_platform/repository/course                                                                                                                                               |         11 |        244 |          0 |         68 |        312 |
| backend/src/main/java/com/swp391/coding_platform/repository/instructor                                                                                                                                           |          2 |         23 |          0 |         10 |         33 |
| backend/src/main/java/com/swp391/coding_platform/repository/payment                                                                                                                                              |          6 |        128 |          0 |         29 |        157 |
| backend/src/main/java/com/swp391/coding_platform/repository/problem                                                                                                                                              |          7 |        141 |          0 |         45 |        186 |
| backend/src/main/java/com/swp391/coding_platform/repository/progress                                                                                                                                             |          2 |         38 |          0 |         16 |         54 |
| backend/src/main/java/com/swp391/coding_platform/repository/projection                                                                                                                                           |          2 |         12 |          0 |          4 |         16 |
| backend/src/main/java/com/swp391/coding_platform/repository/specification                                                                                                                                        |          1 |         56 |          0 |         15 |         71 |
| backend/src/main/java/com/swp391/coding_platform/repository/user                                                                                                                                                 |          3 |         96 |          0 |         24 |        120 |
