"filename", "language", "Markdown", "YAML", "Java", "Java Properties", "Properties", "XML", "TypeScript", "TypeScript JSX", "PostCSS", "JSON", "MS SQL", "JavaScript", "JSON with Comments", "HTML", "Batch", "comment", "blank", "total"
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/controller/admin/AdminDashboardController.java", "Java", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 67
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/controller/admin/AdminFinancialController.java", "Java", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 66
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/controller/admin/AdminInstructorController.java", "Java", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 90
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/controller/auth/AuthenticationController.java", "Java", 0, 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 43, 231
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/controller/cart/CartController.java", "Java", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 70
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/controller/category/CategoryController.java", "Java", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/controller/contest/AdminContestController.java", "Java", 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 176
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/controller/contest/ContestController.java", "Java", 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 204
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/controller/contest/ScoreboardStreamController.java", "Java", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 19, 125
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/controller/course/CourseController.java", "Java", 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 306
